id,title,license,date_license,img,img_new,png
105,"КБ ""РостФинанс""",481,1990-10-15,,,
99,АО АКБ «НОВИКОМБАНК»,,2023-12-13,,,
89,АО Татсоцбанк ,480,2015-03-25,,,
96,"""МТС-Банк""",2306,2015-08-11,,,
91,Примсоцбанк,2733 ,2015-08-21,,,
103,"АО ""Банк ЖилФинанс""",,2023-12-13,,,
102,"""Азиатско-Тихоокеанский Банк"" (АО)",,2023-12-13,,,
101,Дальневосточный Банк АО,,2023-12-13,,,
100,КБ «Кубань Кредит» ООО,,2023-12-13,,,
98,ПАО РОСБАНК,,2023-12-13,,,
97,"Банк ""ВБРР"" (АО)",,2023-12-13,,,
88,Банк «ФК Открытие»,2209,2014-11-24,,,
51,Промсвязьбанк,,2023-12-08,,,
83,Промсвязьбанк,,2023-12-08,,,
90,Уральский банк реконструкции и развития,,2024-10-03,,,
84,Промсвязьбанк,3251,2014-12-17,,,
93,РНКБ Банк (ПАО),,2023-12-13,,,
85,Промсвязьбанк,,2023-12-08,,,
104,"АО ""АЛЬФА-БАНК""",1326,2015-01-16,,,
92,АО «Тинькофф Банк»,1326,2015-01-16,,,
94,Банк Открытие,,2023-12-13,,,
95,"ПАО АКБ ""Приморье""",2733 ,2015-08-21,,,
82,Промсвязьбанк,3251,2014-12-17,,,
107,Центр-инвест,2225,2016-08-26,,,
87,"ПАО ""Банк ""Санкт-Петербург""",436,1990-10-03,,https://fsk-uploads.hb.bizmrg.com/production/646f98213d5ef_e5d170e9efd8296f2e6d66effeb69a35.svg,
86,Россельхозбанк,3349,2015-08-12,,,
106,"АО ""ГЕНБАНК""",2490,2015-12-23,,,
29,"ПАО ""АК БАРС"" БАНК",2590,1993-11-29,https://fsk-uploads.hb.bizmrg.com/production/5bd026b6f265f_71bdf5e74b34fad1ff94e05e23629080.jpg,https://fsk-uploads.hb.bizmrg.com/production/5f3684bec2ac5_d8391c0aa7e84d72b572ebe05769ffbe.svg,
