price,Тип жилья,Комнатность,Площадь квартиры,Площадь кухни,Этаж,Санузел,Кол-во санузлов,Ремонт,Кондиционер,Посудомойка,Холодильник,Мебель,Интернет,Кухонная мебель,Телевизор,Стиральная машина,Вид из окон,Временная эпоха,Высота потолков,Лифт,Материал стен,Консьерж,Территория,,Жилая площадь,Вид из окна,Парковка,Год постройки,Серия дома,Отопление,Балкон/лоджия,Срок сдачи,Отделка,Реновация
3999000,апартаменты,1-комнатная,12 м²,4 м²,4 из 6,раздельный,2,Евро,есть,есть,есть,есть,есть,есть,есть,есть,во двор и на улицу,сталинка,3 м,есть,кирпич,есть,закрытая,Хорошая школа,,,,,,,,,,
11990000,апартаменты,1-комнатная,16 м²,3 м²,8 из 8,совмещённый,1,Дизайнерский,,,,есть,,,,,,сталинка,"3,2 м",есть,кирпич,,,Хорошая школа,12 м²,во двор,закрытая,,,,,,,
8000000,апартаменты,1-комнатная,"18,8 м²",4 м²,24 из 24,,,,,,,,,,,,,,"2,5 м",,монолит,,,,10 м²,,,2024,,,,,,
2800000,,1-комнатная,19 м²,,1 из 1,,,Нужен ремонт,,,,нет,,,,,во двор и на улицу,,,,дерево,,,,,,,,,,,,,
2700000,,1-комнатная,19 м²,,1 из 1,,,Нужен ремонт,,,,нет,,,,,во двор и на улицу,,,,дерево,,закрытая,,,,,,,,,,,
7000000,апартаменты,1-комнатная,19 м²,3 м²,3 из 6,совмещённый,1,Дизайнерский,,,,,,,,,,сталинка,,есть,кирпич,,,,11 м²,во двор,,,,,,,,
8200000,,1-комнатная,"20,5 м²","4,1 м²",1 из 6,раздельный,1,Нужен ремонт,,,,нет,,,,,,сталинка,"2,9 м",есть,,,,Хорошие школы,"12,5 м²",на улицу,закрытая,,,,,,,
9300000,,1-комнатная,"20,9 м²",3 м²,4 из 9,совмещённый,1,Евро,,,,,,,,,,брежневка,"2,64 м",есть,кирпич,,,Торговый центр,"12,9 м²",во двор,закрытая,,II-29,центральное,,,,
9500000,,1-комнатная,"20,9 м²",5 м²,5 из 9,совмещённый,1,Хороший,,,,есть,,есть,,,,брежневка,"2,5 м",есть,кирпич,,,Хорошие школы,11 м²,во двор,открытая,,,центральное,,,,
9500000,,1-комнатная,"21,5 м²","5,5 м²",13 из 16,совмещённый,1,Евро,,,,,,,,,,,,есть,кирпич-монолит,,,,11 м²,на улицу,закрытая,2020,И-209А,,,,,
9584999,апартаменты,1-комнатная,"21,5 м²",5 м²,3 из 4,,,,,,,,,есть,,,,,,,кирпич,,,,13 м²,,,,,,,,,
13776000,,1-комнатная,"21,9 м²",,2 из 7,,,,,,,,,,,,,сталинка,,,,,,Хорошие школы,,,,,,центральное,,,,
9700000,апартаменты,1-комнатная,21 м²,6 м²,2 из 3,совмещённый,1,Дизайнерский,,,,,,,,,,,5 м,,кирпич,,,,10 м²,во двор,,1981,,,,,,
10000000,,1-комнатная,21 м²,"3,5 м²",4 из 9,совмещённый,1,Евро,,,,,,,,,,брежневка,"2,64 м",есть,,,,Хорошая школа,13 м²,во двор,,,,центральное,,,,
8900000,,1-комнатная,21 м²,5 м²,5 из 9,совмещённый,1,Хороший,,,,,,,,,,брежневка,,есть,кирпич,,,Хорошие школы,11 м²,во двор,,,II-18,центральное,,,,
8250000,,1-комнатная,21 м²,4 м²,7 из 9,раздельный,1,,,,,есть,,,,,,брежневка,,,,,,,"14,3 м²",,,,II-57,центральное,есть,,,
9000000,,1-комнатная,22 м²,3 м²,8 из 9,совмещённый,1,Евро,,,,есть,,,,,,брежневка,"2,64 м",есть,кирпич,,,Спортивная площадка,15 м²,во двор,закрытая,,,,,,,
8100000,апартаменты,1-комнатная,23 м²,3 м²,1 из 5,совмещённый,1,Евро,,,,,,,,,,,,,,,,,18 м²,,закрытая,,,,,,,
12000000,,1-комнатная,"24,2 м²","5,7 м²",13 из 24,совмещённый,1,Нужен ремонт,,,,,,,,,,,3 м,есть,монолит,,,,"10,9 м²",во двор,,2022,,,,,,
11900000,,1-комнатная,"24,5 м²",5 м²,4 из 16,совмещённый,1,,,,,,,,,,,,,есть,монолит,,,,15 м²,на улицу,,,,,,,,
8300000,апартаменты,1-комнатная,"24,5 м²",4 м²,6 из 6,совмещённый,1,Евро,есть,,есть,есть,есть,есть,,есть,,,4 м,есть,кирпич,есть,,Спортивная площадка,18 м²,во двор,,,,,,,,
8900000,апартаменты,1-комнатная,"25,2 м²",3 м²,3 из 5,совмещённый,1,Евро,,,,,,,,,,,,,,,,,20 м²,,закрытая,,,,,,,
13000000,,1-комнатная,"25,3 м²",5 м²,16 из 33,,2,Евро,,,,,,,,,,,,,,,,,"15,3 м²",во двор,закрытая,2024,,,,,,
13000000,,1-комнатная,"25,3 м²",5 м²,16 из 33,совмещённый,1,,,,,,есть,,,,,,,,панель,,,,18 м²,во двор,,2024,,,есть,,,
9700000,,1-комнатная,"25,3 м²",6 м²,2 из 9,совмещённый,1,Хороший,,,,есть,,,,,,брежневка,"2,64 м",есть,панель,,,Хорошая школа,"13,6 м²",во двор,закрытая,,1-515,центральное,,,,
15000000,,1-комнатная,25 м²,5 м²,12 из 27,совмещённый,1,Дизайнерский,,,,есть,,,,,,,"3,08 м",есть,монолит,,,,,,подземная,2020,,,,,,
7650000,,1-комнатная,25 м²,6 м²,18 из 25,,,,,,,,,,,,,,,,,,,,18 м²,,,2024,,,есть,,,
9500000,,1-комнатная,25 м²,6 м²,2 из 9,совмещённый,1,Хороший,,,,,,,,,,брежневка,,есть,панель,,,Хорошие школы,14 м²,во двор,закрытая,,1-515,центральное,,,,
10299000,,1-комнатная,"26,1 м²","6,2 м²",9 из 9,совмещённый,1,Нужен ремонт,,,,,,,,,,брежневка,"2,65 м",есть,панель,,,,"14,2 м²",во двор,закрытая,,1-515,центральное,,,,
12000000,,1-комнатная,"26,2 м²","5,7 м²",2 из 9,совмещённый,1,Хороший,,,,,,,,,,брежневка,"2,64 м",есть,панель,,,Хорошие школы,"14,9 м²",во двор,,,1-515,центральное,,,,
8021500,,1-комнатная,"26,3 м²","10,4 м²",16 из 22,,,,,,,,,,,,,,,,монолит,,,,"6,6 м²",,,,,,,4 кв. 2026 г.,,
