price,Комнатность,Площадь квартиры,Жилая площадь,Площадь кухни,Этаж,Санузел,Кол-во санузлов,Ремонт,Мебель,Вид из окна,Серия дома,Лифт,Материал стен,Отопление,Парковка,,Высота потолков,Балкон/лоджия,Отделка,Срок сдачи,Тип жилья,Кондиционер,Кухонная мебель,Временная эпоха,Год постройки,Интернет,Вид из окон,Реновация,Территория,Холодильник,Стиральная машина,Телевизор,Посудомойка,Консьерж
13000000,1-комнатная,"38,5 м²","18,5 м²","8,5 м²",16 из 17,совмещённый,1,Евро,нет,на улицу,П-44,есть,панель,центральное,закрытая,Спортивная площадка,,,,,,,,,,,,,,,,,,
11700000,1-комнатная,"38,5 м²",20 м²,"10,2 м²",16 из 22,раздельный,1,Хороший,есть,во двор,КОПЭ,есть,панель,центральное,закрытая,,"2,8 м",,,,,,,,,,,,,,,,,
12639550,1-комнатная,"38,5 м²",,,2 из 18,,,,,,,,,,,Спортивная площадка,,,,,,,,,,,,,,,,,,
9700000,1-комнатная,"38,5 м²",20 м²,9 м²,4 из 12,,,Хороший,есть,во двор,П-55,есть,панель,центральное,закрытая,Хорошие школы,"2,7 м",,,,,,,,,,,,,,,,,
12500000,1-комнатная,"38,5 м²","20,9 м²","8,6 м²",4 из 12,раздельный,1,Хороший,есть,во двор,П-46,есть,панель,центральное,открытая,Хорошая школа,"2,64 м",есть,,,,,,,,,,,,,,,,
14375069,1-комнатная,"38,5 м²","10,9 м²",,4 из 48,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2027 г.,,,,,,,,,,,,,,
21933333,1-комнатная,"38,5 м²","11,9 м²","18,3 м²",42 из 55,,1,,,,,,монолит,,закрытая,,"2,95 м",есть,без отделки,3 кв. 2026 г.,,,,,,,,,,,,,,
16250000,1-комнатная,"38,5 м²",14 м²,18 м²,7 из 10,совмещённый,1,,,на улицу,,есть,монолит,,,,3 м,,,,апартаменты,,,,,,,,,,,,,
10500000,1-комнатная,"38,5 м²","18,5 м²","7,3 м²",7 из 17,совмещённый,1,,есть,на улицу,П-44Т,есть,панель,центральное,закрытая,Спортивная площадка,"2,7 м",есть,,,,есть,есть,,,,,,,,,,,
10500000,1-комнатная,"38,5 м²","18,5 м²","7,3 м²",7 из 17,,2,Хороший,есть,на улицу,П-44Т,есть,панель,центральное,открытая,Спортивная площадка,"2,7 м",есть,,,,,,,,,,,,,,,,
15400000,1-комнатная,"38,5 м²","19,2 м²",10 м²,7 из 17,совмещённый,1,,,во двор,П-44/17,есть,панель,,,Хорошая школа,,есть,,,,,,,,,,,,,,,,
11600000,1-комнатная,"38,5 м²","19,2 м²","8,6 м²",8 из 16,совмещённый,1,Хороший,,на улицу,П-44,есть,панель,центральное,,Хорошие школы,"2,66 м",,,,,,,брежневка,,,,,,,,,,
16500000,1-комнатная,"38,5 м²","25,1 м²","8,4 м²",8 из 17,совмещённый,1,Евро,,на улицу,П-44,есть,панель,центральное,,Хорошая школа,"2,6 м",есть,,,,,,,,,,,,,,,,
11250000,1-комнатная,"38,6 м²","20,4 м²","8,9 м²",1 из 12,раздельный,1,,,на улицу,П-46,есть,панель,центральное,,Хорошая школа,,,,,,,,брежневка,,,,,,,,,,
18234254,1-комнатная,"38,6 м²","22,5 м²","6,4 м²",11 из 27,,,,,,,есть,монолит,,закрытая,,"2,92 м",,без отделки,2 кв. 2027 г.,,,,,,,,,,,,,,
15631784,1-комнатная,"38,6 м²","10,8 м²",,12 из 49,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2027 г.,,,,,,,,,,,,,,
19552742,1-комнатная,"38,6 м²","10,6 м²",,15 из 53,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2025 г.,,,,,,,,,,,,,,
15812718,1-комнатная,"38,6 м²","12,4 м²",,16 из 49,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2027 г.,,,,,,,,,,,,,,
13500000,1-комнатная,"38,6 м²",17 м²,"10,2 м²",18 из 22,раздельный,1,,,на улицу,И-700,есть,панель,центральное,закрытая,Спортивная площадка,,есть,,,,,,,,,,,,,,,,
11000000,1-комнатная,"38,6 м²","19,1 м²",9 м²,2 из 12,совмещённый,1,Нужен ремонт,,на улицу,П-44,есть,панель,центральное,закрытая,Хорошая школа,"2,7 м",,,,,,,,,,,,,,,,,
