price,Комнатность,Площадь квартиры,Жилая площадь,Площадь кухни,Этаж,Санузел,Кол-во санузлов,Балкон/лоджия,Ремонт,Вид из окон,Год постройки,Высота потолков,Лифт,Материал стен,Парковка,Мебель,Вид из окна,,Срок сдачи,Территория,Временная эпоха,Отопление,Консьерж,Отделка,Серия дома,Тип жилья,Кухонная мебель,Кондиционер,Посудомойка,Холодильник,Стиральная машина,Реновация,Интернет,Телевизор
20900000,1-комнатная,51 м²,35 м²,10 м²,13 из 47,совмещённый,1,есть,Нужен ремонт,во двор и на улицу,2024,"3,15 м",есть,монолит,подземная,,,,,,,,,,,,,,,,,,,
22300000,1-комнатная,51 м²,23 м²,20 м²,20 из 30,,2,,Евро,,,3 м,есть,монолит,подземная,есть,во двор,Спортивная площадка,,,,,,,,,,,,,,,,
33187700,1-комнатная,"52,1 м²","15,2 м²",23 м²,11 из 20,раздельный,1,,,,,"3,38 м",есть,монолит,закрытая,,,,3 кв. 2028 г.,закрытая,,,,,,,,,,,,,,
34339110,1-комнатная,"52,1 м²","15,2 м²",23 м²,14 из 20,раздельный,1,,,,,"3,38 м",есть,монолит,закрытая,,,,3 кв. 2028 г.,закрытая,,,,,,,,,,,,,,
76270000,1-комнатная,"52,1 м²",13 м²,"26,1 м²",2 из 14,,2,,,,,"3,35 м",есть,монолит,,,во двор,Хорошие школы,4 кв. 2027 г.,закрытая,сталинка,центральное,есть,,,,,,,,,,,
34276590,1-комнатная,"52,1 м²","13,5 м²","24,9 м²",2 из 22,раздельный,1,есть,,,,"3,07 м",есть,монолит,закрытая,,,,3 кв. 2028 г.,закрытая,,,,,,,,,,,,,,
19175405,1-комнатная,"52,1 м²","13,5 м²",,26 из 59,,,,,,,"2,85 м",,,,,,,2028 г.,,,,,без отделки,,,,,,,,,,
32156120,1-комнатная,"52,1 м²","15,2 м²",23 м²,8 из 20,раздельный,1,,,,,"3,38 м",есть,монолит,закрытая,,,,3 кв. 2028 г.,закрытая,,,,,,,,,,,,,,
18050384,1-комнатная,"52,2 м²","33,4 м²",,13 из 27,,,,,,,"2,85 м",есть,монолит,подземная,,во двор,,2027 г.,,,,,предчистовая,,,,,,,,,,
63702000,1-комнатная,"52,2 м²","16,5 м²",,21 из 23,,,,,,2024,"3,02 м",есть,кирпич-монолит,закрытая,,,,,закрытая,,,есть,без отделки,,,,,,,,,,
33299410,1-комнатная,"52,3 м²","15,3 м²","22,9 м²",11 из 20,раздельный,1,,,,,"3,38 м",есть,монолит,закрытая,,,,3 кв. 2028 г.,закрытая,,,,,,,,,,,,,,
33675970,1-комнатная,"52,3 м²","13,6 м²","24,7 м²",12 из 20,раздельный,1,,,,,"3,38 м",есть,монолит,закрытая,,,,3 кв. 2028 г.,закрытая,,,,,,,,,,,,,,
28921941,1-комнатная,"52,3 м²","17,1 м²",,15 из 17,,,,,,,"3,06 м",,,,,на улицу,,2025 г.,,,,,без отделки,,,,,,,,,,
29429344,1-комнатная,"52,3 м²","17,1 м²",,16 из 17,,,,,,,"3,06 м",,,,,на улицу,,2025 г.,,,,,без отделки,,,,,,,,,,
33793006,1-комнатная,"52,3 м²","17,1 м²",,17 из 17,,,,,,,"3,4 м",,,,,на улицу,,2025 г.,,,,,без отделки,,,,,,,,,,
34810880,1-комнатная,"52,3 м²","15,8 м²","3,1 м²",2 из 13,раздельный,1,есть,,,,"3,08 м",есть,монолит,закрытая,,,,2 кв. 2025 г.,закрытая,,,,,,,,,,,,,,
31322470,1-комнатная,"52,3 м²","15,3 м²","22,9 м²",5 из 20,раздельный,1,,,,,"3,38 м",есть,монолит,закрытая,,,,3 кв. 2028 г.,закрытая,,,,,,,,,,,,,,
32263870,1-комнатная,"52,3 м²","13,6 м²","24,7 м²",8 из 20,раздельный,1,,,,,"3,38 м",есть,монолит,закрытая,,,,3 кв. 2028 г.,закрытая,,,,,,,,,,,,,,
32263870,1-комнатная,"52,3 м²","15,3 м²","22,9 м²",8 из 20,раздельный,1,,,,,"3,38 м",есть,монолит,закрытая,,,,3 кв. 2028 г.,закрытая,,,,,,,,,,,,,,
18031550,1-комнатная,"52,4 м²","33,4 м²",,11 из 27,,,,,,,"2,85 м",есть,монолит,подземная,,во двор,,2027 г.,,,,,предчистовая,,,,,,,,,,
16700000,1-комнатная,"52,5 м²","22,4 м²","14,3 м²",24 из 25,раздельный,1,есть,Евро,,,"2,74 м",есть,панель,закрытая,есть,во двор,Хорошие школы,,,,центральное,,,П-44Т,,,,,,,,,
34374100,1-комнатная,"52,6 м²","14,7 м²","11,1 м²",5 из 22,совмещённый,1,,,,,"3,08 м",есть,монолит,закрытая,,,,2 кв. 2025 г.,закрытая,,,,,,,,,,,,,,
19356744,1-комнатная,"52,8 м²","15,1 м²",,32 из 59,,,,,,,"2,85 м",,,,,,,2028 г.,,,,,без отделки,,,,,,,,,,
19491384,1-комнатная,"52,8 м²","15,3 м²",,37 из 59,,,,,,,"2,85 м",,,,,,,2028 г.,,,,,без отделки,,,,,,,,,,
30749999,1-комнатная,"52,8 м²","15,8 м²",,6 из 21,совмещённый,1,,,,,,,монолит,,,на улицу,,1 кв. 2025 г.,,,,,,,апартаменты,,,,,,,,
32219999,1-комнатная,"52,8 м²","15,8 м²",,8 из 21,совмещённый,1,,,,,,,монолит,,,на улицу,,1 кв. 2025 г.,,,,,,,апартаменты,,,,,,,,
34326810,1-комнатная,"52,9 м²","14,3 м²","25,7 м²",3 из 22,раздельный,1,,,,,"3,07 м",есть,монолит,закрытая,,,,3 кв. 2028 г.,закрытая,,,,,,,,,,,,,,
30264090,1-комнатная,"52,9 м²","12,5 м²","30,7 м²",4 из 11,раздельный,1,,,,,"3,38 м",есть,монолит,закрытая,,,,3 кв. 2028 г.,закрытая,,,,,,,,,,,,,,
