price,Комнатность,Площадь квартиры,Жилая площадь,Этаж,Отделка,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Площадь кухни,Санузел,Кол-во санузлов,Балкон/лоджия,Серия дома,Отопление,,Тип жилья,Вид из окна,Ремонт,Вид из окон,Временная эпоха,Реновация,Территория,Год постройки,Кондиционер,Посудомойка,Холодильник,Мебель,Интернет,Кухонная мебель,Телевизор,Стиральная машина,Консьерж
26151600,2-комнатная,"55,5 м²","36,6 м²",39 из 59,без отделки,3 кв. 2028 г.,"2,85 м",есть,кирпич-монолит,закрытая,,,,,,,,,,,,,,,,,,,,,,,,
21266255,2-комнатная,"55,5 м²","23,2 м²",5 из 12,без отделки,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,"19,8 м²",,,,,,,,,,,,,,,,,,,,,,,
20893363,2-комнатная,"55,5 м²","32,5 м²",5 из 13,без отделки,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,5 м²,,,,,,,,,,,,,,,,,,,,,,,
21237907,2-комнатная,"55,5 м²","35,1 м²",6 из 13,без отделки,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,"5,8 м²",,,,,,,,,,,,,,,,,,,,,,,
21194839,2-комнатная,"55,5 м²","32,5 м²",8 из 13,без отделки,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,5 м²,,,,,,,,,,,,,,,,,,,,,,,
11500000,2-комнатная,"55,6 м²","32,6 м²",13 из 19,,,,есть,панель,,"8,1 м²",раздельный,1,есть,И-155,центральное,Спортивная площадка,,,,,,,,,,,,,,,,,
13507585,2-комнатная,"55,6 м²","22,9 м²",18 из 23,,3 кв. 2025 г.,"2,6 м",есть,монолит,открытая,"17,8 м²",совмещённый,1,,,,,апартаменты,на улицу,,,,,,,,,,,,,,,
10899000,2-комнатная,"55,6 м²","32,6 м²",2 из 19,,,"2,7 м",есть,панель,закрытая,"8,1 м²",раздельный,1,есть,И-155,центральное,Спортивная площадка,,,Нужен ремонт,во двор и на улицу,,,,,,,,,,,,,
13263933,2-комнатная,"55,6 м²","22,9 м²",23 из 23,,3 кв. 2025 г.,"2,6 м",есть,монолит,открытая,"17,8 м²",совмещённый,1,,,,,апартаменты,на улицу,,,,,,,,,,,,,,,
12550512,2-комнатная,"55,6 м²","24,4 м²",4 из 14,,4 кв. 2025 г.,"2,8 м",есть,монолит,открытая,"15,9 м²",раздельный,1,есть,,,,,,,,,,,,,,,,,,,,
27694600,2-комнатная,"55,6 м²","31,2 м²",42 из 54,без отделки,2 кв. 2025 г.,3 м,,монолит,закрытая,"4,9 м²",совмещённый,1,,,центральное,,,на улицу,,,хрущевка,Подлежит реновации,закрытая,,,,,,,,,,
24049889,2-комнатная,"55,6 м²","23,9 м²",44 из 53,предчистовая,2025 г.,"2,85 м",есть,монолит,подземная,"23,6 м²",,,,,,,,во двор,,,,,,,,,,,,,,,
