price,Комнатность,Площадь квартиры,Жилая площадь,Площадь кухни,Этаж,Санузел,Кол-во санузлов,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Территория,Балкон/лоджия,Ремонт,Кондиционер,Посудомойка,Холодильник,Мебель,Интернет,Кухонная мебель,Телевизор,Стиральная машина,Отопление,Консьерж,,Вид из окон,Тип жилья,Вид из окна,Отделка,Год постройки,Временная эпоха,Серия дома,Реновация
39577500,2-комнатная,75 м²,"31,7 м²","14,2 м²",7 из 10,совмещённый,1,2 кв. 2025 г.,"3,08 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
44927520,2-комнатная,"76,2 м²","25,9 м²",20 м²,2 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
60000000,2-комнатная,"76,2 м²",50 м²,10 м²,6 из 22,совмещённый,1,,3 м,есть,кирпич,,закрытая,есть,Дизайнерский,есть,есть,есть,есть,есть,есть,есть,есть,домовая котельная,есть,Спортивная площадка,,,,,,,,
39000000,2-комнатная,"76,6 м²",29 м²,"18,6 м²",17 из 24,совмещённый,2,2025 г.,"3,1 м",есть,монолит,подземная,,,Черновая отделка,,,,,,,,,,,,во двор и на улицу,,,,,,,
41429999,2-комнатная,"76,7 м²","30,1 м²",,2 из 21,совмещённый,2,1 кв. 2025 г.,,,монолит,,,,,,,,,,,,,,,,,апартаменты,на улицу,,,,,
39990000,2-комнатная,"76,9 м²",,14 м²,3 из 31,совмещённый,2,,"3,2 м",есть,монолит,,закрытая,,Дизайнерский,есть,есть,есть,есть,есть,есть,,есть,,,Спортивная площадка,,,во двор,,,,,
34775156,2-комнатная,76 м²,,,12 из 15,,,2026 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,,,,,,во двор,предчистовая,,,,
32900000,2-комнатная,76 м²,30 м²,"30,3 м²",13 из 28,совмещённый,1,,"3,1 м",есть,монолит,подземная,,есть,Черновая отделка,,,,,,,,,,,,,,на улицу,,2024,,,
39393536,2-комнатная,76 м²,"43,1 м²","9,2 м²",15 из 19,,,2025 г.,,,монолит,подземная,,,,,,,,,,,,,,,,,,,,,,
46079999,2-комнатная,"77,8 м²","30,5 м²",,13 из 21,совмещённый,2,1 кв. 2025 г.,,,монолит,,,,,,,,,,,,,,,,,апартаменты,на улицу,,,,,
51249999,2-комнатная,"77,8 м²","30,5 м²",,15 из 21,совмещённый,2,1 кв. 2025 г.,,,монолит,,,,,,,,,,,,,,,,,апартаменты,на улицу,,,,,
53219999,2-комнатная,"77,8 м²","30,5 м²",,18 из 21,совмещённый,2,1 кв. 2025 г.,,,монолит,,,,,,,,,,,,,,,,,апартаменты,на улицу,,,,,
43779999,2-комнатная,"77,8 м²","30,5 м²",,5 из 21,совмещённый,2,1 кв. 2025 г.,,,монолит,,,,,,,,,,,,,,,,,апартаменты,на улицу,,,,,
44619999,2-комнатная,"77,8 м²","30,5 м²",,6 из 21,совмещённый,2,1 кв. 2025 г.,,,монолит,,,,,,,,,,,,,,,,,апартаменты,на улицу,,,,,
46299999,2-комнатная,"77,8 м²","30,5 м²",,8 из 21,совмещённый,2,1 кв. 2025 г.,,,монолит,,,,,,,,,,,,,,,,,апартаменты,на улицу,,,,,
26480000,2-комнатная,"78,1 м²","30,9 м²","20,8 м²",20 из 24,,,2026 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
25970000,2-комнатная,"78,1 м²","30,9 м²","20,8 м²",21 из 24,,,2026 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
42110829,2-комнатная,"78,2 м²",25 м²,,15 из 17,,,2025 г.,"3,06 м",,,,,,,,,,,,,,,,,,,,во двор,без отделки,,,,
46139999,2-комнатная,"78,3 м²","33,5 м²",,9 из 21,совмещённый,2,1 кв. 2025 г.,,,монолит,,,,,,,,,,,,,,,,,апартаменты,на улицу,,,,,
52261440,2-комнатная,"78,4 м²",31 м²,"8,9 м²",5 из 7,совмещённый,1,2 кв. 2025 г.,"3,08 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
32275256,2-комнатная,"78,7 м²",,,2 из 15,,,2026 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,,,,,,во двор,предчистовая,,,,
48263130,2-комнатная,"78,9 м²","24,3 м²","15,9 м²",1 из 20,раздельный,1,3 кв. 2028 г.,"6,51 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
44490000,2-комнатная,"78,9 м²",35 м²,12 м²,5 из 11,совмещённый,1,,"3,2 м",есть,монолит,подземная,,есть,Нужен ремонт,,,,,,,,,,,,во двор и на улицу,,,,2024,,,
35539686,2-комнатная,78 м²,"52,6 м²","7,7 м²",11 из 17,,,2025 г.,,,монолит,подземная,,,,,,,,,,,,,,,,,,,,,,
35859096,2-комнатная,78 м²,"52,6 м²","7,7 м²",14 из 17,,,2025 г.,,,монолит,подземная,,,,,,,,,,,,,,,,,,,,,,
36022350,2-комнатная,78 м²,"52,6 м²","7,7 м²",16 из 17,,,2025 г.,,,монолит,подземная,,,,,,,,,,,,,,,,,,,,,,
43000000,2-комнатная,78 м²,28 м²,25 м²,2 из 14,,2,,3 м,есть,монолит,подземная,,есть,Дизайнерский,есть,,,есть,,есть,,,,,Хорошая школа,,,на улицу,,2019,,,
35500000,2-комнатная,78 м²,41 м²,"17,2 м²",3 из 11,совмещённый,2,,"5,05 м",есть,монолит,,,,Нужен ремонт,,,,,,,,,,,,,,,,2023,,,
48000000,2-комнатная,78 м²,50 м²,15 м²,5 из 18,,2,,"3,1 м",есть,монолит,подземная,,есть,Дизайнерский,есть,,,есть,,есть,,,,,,,,на улицу,,2022,,,
48684240,2-комнатная,"79,2 м²","28,9 м²",30 м²,10 из 11,раздельный,1,3 кв. 2028 г.,"3,1 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
23230935,2-комнатная,"79,3 м²","49,8 м²","5,3 м²",2 из 18,,,2025 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,центральное,,,,,,без отделки,,сталинка,,
46279480,2-комнатная,"79,3 м²","26,1 м²","31,7 м²",5 из 11,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
23843052,2-комнатная,"79,3 м²","49,8 м²","5,3 м²",5 из 18,,,2025 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,центральное,,,,,,без отделки,,сталинка,,
34545199,2-комнатная,"79,4 м²","74,4 м²",,10 из 16,,,2027 г.,"3,06 м",,,,,,,,,,,,,,,,,,,,на улицу,без отделки,,,,
34850908,2-комнатная,"79,4 м²","74,4 м²",,11 из 16,,,2027 г.,"3,06 м",,,,,,,,,,,,,,,,,,,,на улицу,без отделки,,,,
47671760,2-комнатная,"79,4 м²","30,4 м²","23,5 м²",12 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
35488285,2-комнатная,"79,4 м²","74,4 м²",,13 из 16,,,2027 г.,"3,06 м",,,,,,,,,,,,,,,,,,,,на улицу,без отделки,,,,
48259320,2-комнатная,"79,4 м²","30,4 м²","23,5 м²",13 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
49490020,2-комнатная,"79,4 м²","30,4 м²","23,5 м²",15 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
50141100,2-комнатная,"79,4 м²","30,4 м²","23,5 м²",16 из 20,раздельный,1,3 кв. 2028 г.,"3,1 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
57795260,2-комнатная,"79,4 м²","31,4 м²","25,5 м²",17 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
44098760,2-комнатная,"79,4 м²","30,4 м²","23,5 м²",5 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
33322361,2-комнатная,"79,4 м²","74,4 м²",,6 из 16,,,2027 г.,"3,06 м",,,,,,,,,,,,,,,,,,,,на улицу,без отделки,,,,
44575160,2-комнатная,"79,4 м²","30,4 м²","23,5 м²",6 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
32000000,2-комнатная,"79,5 м²",52 м²,"10,3 м²",9 из 51,,2,,"3,1 м",,кирпич-монолит,подземная,,,Нужен ремонт,,,,,,,,,,,,во двор и на улицу,,,,2023,,,
53167870,2-комнатная,"79,7 м²",29 м²,"7,1 м²",4 из 7,совмещённый,1,2 кв. 2025 г.,"3,08 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
42000000,2-комнатная,"79,7 м²",44 м²,"12,5 м²",5 из 18,совмещённый,1,,,есть,монолит,,,есть,,,,,есть,,,,,,,Хорошая школа,,,,,2015,,,
29090795,2-комнатная,"79,9 м²",,,2 из 15,,,2026 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,,,,,,во двор,предчистовая,,,,
30553760,2-комнатная,"79,9 м²",56 м²,,2 из 59,,,3 кв. 2028 г.,"2,85 м",есть,кирпич-монолит,закрытая,,,,,,,,,,,,,,,,,,без отделки,,,,
33000000,2-комнатная,79 м²,34 м²,15 м²,12 из 52,совмещённый,2,,"3,1 м",есть,монолит,подземная,,,Черновая отделка,,,,,,,,,,,,,,во двор,,2024,,,
44714000,2-комнатная,79 м²,"26,1 м²","31,7 м²",2 из 11,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
45500000,2-комнатная,79 м²,50 м²,20 м²,21 из 41,,2,,"3,3 м",есть,монолит,подземная,,есть,Чистовая отделка,,,,,,,,,,,,,,на улицу,,2023,,,
22900000,2-комнатная,79 м²,"26,1 м²","12,2 м²",3 из 24,совмещённый,2,,"2,8 м",есть,монолит,закрытая,,,Дизайнерский,,,,,,,,,,,,,,,,2022,,,
47558000,2-комнатная,79 м²,"26,1 м²","31,7 м²",8 из 11,раздельный,1,3 кв. 2028 г.,"3,1 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
28437102,2-комнатная,"80,1 м²","43,3 м²","5,3 м²",2 из 27,,,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,,,,,,,,,,,,,,,,,,без отделки,,,,
31107160,2-комнатная,"80,1 м²",,,5 из 28,,,3 кв. 2025 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
37000000,2-комнатная,"80,1 м²",33 м²,17 м²,8 из 52,совмещённый,2,,"3,1 м",есть,монолит,подземная,,,Черновая отделка,,,,,,,,,,,,,,во двор,,2024,,,
36902169,2-комнатная,"80,2 м²",,,13 из 28,,,3 кв. 2025 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
31421390,2-комнатная,"80,3 м²",56 м²,,4 из 59,,,3 кв. 2028 г.,"2,85 м",есть,кирпич-монолит,закрытая,,,,,,,,,,,,,,,,,,без отделки,,,,
31474027,2-комнатная,"80,3 м²",,,8 из 15,,,2026 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,,,,,,во двор,предчистовая,,,,
35066577,2-комнатная,"80,5 м²",,,21 из 28,,,3 кв. 2025 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
31545041,2-комнатная,"80,7 м²",,,12 из 15,,,2026 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,,,,,,во двор,предчистовая,,,,
129760000,2-комнатная,"80,8 м²",29 м²,"24,5 м²",10 из 11,,2,4 кв. 2027 г.,"3,35 м",есть,монолит,,закрытая,есть,,,,,,,,,,центральное,есть,Хорошие школы,,,во двор,,,сталинка,,
23996083,2-комнатная,"80,8 м²","29,9 м²",,7 из 17,,,2027 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,,,,,,во двор,предчистовая,,,,
125310000,2-комнатная,"80,8 м²",29 м²,"24,5 м²",9 из 11,,2,4 кв. 2027 г.,"3,35 м",есть,монолит,,закрытая,есть,,,,,,,,,,центральное,есть,Хорошие школы,,,во двор,,,сталинка,,
24494231,2-комнатная,"80,9 м²","29,9 м²",,12 из 17,,,2027 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,,,,,,во двор,предчистовая,,,,
42051820,2-комнатная,"80,9 м²","31,6 м²","6,9 м²",2 из 19,совмещённый,1,2 кв. 2025 г.,"3,08 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
27500000,2-комнатная,80 м²,"43,2 м²","17,9 м²",18 из 21,раздельный,2,,3 м,есть,монолит,подземная,,,Нужен ремонт,,,,нет,,,,,центральное,,Спортивная площадка,,,на улицу,,2019,,,
29103658,2-комнатная,80 м²,,,2 из 15,,,2026 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,,,,,,во двор,предчистовая,,,,
34000000,2-комнатная,80 м²,36 м²,16 м²,22 из 52,совмещённый,2,,"3,1 м",есть,монолит,подземная,,,Черновая отделка,,,,,,,,,,,,,,во двор,,2024,,,
43565814,2-комнатная,"81,2 м²",,,23 из 28,,,2 кв. 2025 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
49979600,2-комнатная,"81,4 м²","28,5 м²","36,7 м²",18 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
50671500,2-комнатная,"81,4 м²","28,5 м²","36,7 м²",19 из 20,раздельный,1,3 кв. 2028 г.,"3,1 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
45000000,2-комнатная,"81,4 м²",45 м²,"13,4 м²",7 из 18,совмещённый,1,,,есть,монолит,,,есть,,,,,есть,,,,,,,Хорошая школа,,,,,2015,,,
53399120,2-комнатная,"81,7 м²","25,9 м²","36,1 м²",18 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
50204650,2-комнатная,"81,7 м²","25,9 м²","36,1 м²",19 из 20,раздельный,1,3 кв. 2028 г.,"3,1 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
43823880,2-комнатная,"81,7 м²","31,4 м²","6,9 м²",7 из 19,совмещённый,1,2 кв. 2025 г.,"3,06 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
37999000,2-комнатная,81 м²,38 м²,21 м²,7 из 31,,2,,,есть,монолит,,,есть,Дизайнерский,,,,,,,,,центральное,,Спортивная площадка,,,на улицу,,,,КОПЭ,
32079753,2-комнатная,"82,2 м²",,,8 из 15,,,2026 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,,,,,,во двор,предчистовая,,,,
29610000,2-комнатная,"83,1 м²","23,7 м²","19,7 м²",9 из 9,,,2026 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
30220000,2-комнатная,"83,3 м²","27,2 м²","24,7 м²",20 из 24,,,2026 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
29080000,2-комнатная,"83,4 м²",27 м²,25 м²,17 из 24,,,2026 г.,,,,,,,,,,,,,,,,,,,,,,,,,,
65000000,2-комнатная,"83,4 м²","49,9 м²","26,4 м²",8 из 13,совмещённый,2,,"3,12 м",есть,монолит,подземная,,,Дизайнерский,,,,,,,,,,,,во двор и на улицу,,,,2022,,,
118340000,2-комнатная,"83,8 м²","28,5 м²","23,8 м²",7 из 9,,2,3 кв. 2027 г.,"3,35 м",,монолит,,закрытая,,,,,,,,,,,,есть,Хорошие школы,,,на улицу,,,,,
14800000,2-комнатная,"84,3 м²",42 м²,15 м²,7 из 14,раздельный,1,,3 м,есть,,,,есть,Евро,есть,,есть,есть,есть,есть,есть,есть,,есть,,,,во двор,,,,,
68500000,2-комнатная,"84,4 м²","28,7 м²","27,5 м²",31 из 41,,,,"3,1 м",есть,монолит,,,,Черновая отделка,,,,,,,,,,,,,,во двор,,2024,,,
122280000,2-комнатная,"84,8 м²",27 м²,"27,6 м²",10 из 14,,2,2 кв. 2028 г.,"3,55 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,есть,,,,во двор,без отделки,,,,
101340000,2-комнатная,"84,9 м²","26,8 м²","27,6 м²",4 из 14,,2,2 кв. 2028 г.,"3,55 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,есть,,,,во двор,без отделки,,,,
28823829,2-комнатная,84 м²,"29,9 м²","31,7 м²",19 из 19,совмещённый,2,4 кв. 2026 г.,"2,87 м",есть,монолит,открытая,,есть,,,,,,,,,,,,,,,,,,,,
14900000,2-комнатная,84 м²,40 м²,15 м²,2 из 10,раздельный,1,,,есть,кирпич-монолит,,,,,,,,,,,,,,,,,,,,,,,
50181600,2-комнатная,84 м²,"28,4 м²","29,6 м²",3 из 11,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
28990000,2-комнатная,84 м²,30 м²,30 м²,3 из 28,совмещённый,2,,"3,1 м",есть,монолит,подземная,,есть,Черновая отделка,,,,,,,,,,,,,,на улицу,,2024,,,
51189600,2-комнатная,84 м²,"28,4 м²","29,6 м²",5 из 11,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
52197600,2-комнатная,84 м²,"28,4 м²","29,6 м²",7 из 11,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
115180000,2-комнатная,"85,1 м²",27 м²,"27,6 м²",8 из 14,,2,2 кв. 2028 г.,"3,55 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,есть,,,,во двор,без отделки,,,,
33500000,2-комнатная,"85,2 м²",33 м²,28 м²,24 из 28,совмещённый,2,,"3,2 м",есть,монолит,подземная,,есть,Нужен ремонт,,,,,,,,,,,,,,на улицу,,2024,,,
37336663,2-комнатная,"85,3 м²","50,1 м²","7,7 м²",10 из 25,,,2025 г.,,,монолит,подземная,,,,,,,,,,,,,,,,,,,,,,
37491909,2-комнатная,"85,3 м²","50,1 м²","8,5 м²",13 из 25,,,2025 г.,,,монолит,подземная,,,,,,,,,,,,,,,,,,,,,,
35289927,2-комнатная,"85,4 м²","52,5 м²","5,3 м²",2 из 25,,,2025 г.,,,монолит,подземная,,,,,,,,,,,,,,,,,,,,,,
36525580,2-комнатная,"85,4 м²","50,1 м²","7,7 м²",4 из 25,,,2025 г.,,,монолит,подземная,,,,,,,,,,,,,,,,,,,,,,
55455300,2-комнатная,"85,5 м²","26,2 м²","38,7 м²",18 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
56224800,2-комнатная,"85,5 м²","26,2 м²","38,7 м²",19 из 20,раздельный,1,3 кв. 2028 г.,"3,1 м",есть,монолит,закрытая,закрытая,,,,,,,,,,,,,,,,,,,,,
37685020,2-комнатная,"85,6 м²","80,6 м²",,12 из 16,,,2027 г.,"3,06 м",,,,,,,,,,,,,,,,,,,,на улицу,без отделки,,,,
30242197,2-комнатная,"85,6 м²","80,6 м²",,2 из 16,,,2027 г.,"3,06 м",,,,,,,,,,,,,,,,,,,,на улицу,без отделки,,,,
33500000,2-комнатная,85 м²,28 м²,24 м²,7 из 37,,2,,"3,1 м",есть,монолит,подземная,,,Нужен ремонт,,,,,,,,,,,Спортивная площадка,,,на улицу,,2022,,,
126470000,2-комнатная,"86,3 м²","30,4 м²","25,7 м²",11 из 14,,2,2 кв. 2028 г.,"3,55 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,есть,,,,во двор,без отделки,,,,
52600650,2-комнатная,"86,5 м²","28,8 м²","24,7 м²",2 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
56102640,2-комнатная,"86,9 м²","23,9 м²","36,5 м²",5 из 13,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
37000000,2-комнатная,86 м²,38 м²,13 м²,40 из 52,совмещённый,2,,"3,1 м",есть,монолит,подземная,,,Черновая отделка,,,,,,,,,,,,,,во двор,,2024,,,
62835480,2-комнатная,"87,6 м²","28,7 м²","40,9 м²",17 из 20,раздельный,1,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,закрытая,есть,,,,,,,,,,,,,,,,,,,,
37915987,2-комнатная,"88,1 м²","83,1 м²",,10 из 16,,,2027 г.,"3,06 м",,,,,,,,,,,,,,,,,,,,на улицу,без отделки,,,,
39120448,2-комнатная,"88,1 м²","83,1 м²",,14 из 16,,,2027 г.,"3,06 м",,,,,,,,,,,,,,,,,,,,на улицу,без отделки,,,,
