price,Комнатность,Площадь квартиры,Этаж,Отделка,Вид из окна,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Жилая площадь,Площадь кухни,Кол-во санузлов,Балкон/лоджия,Санузел,Ремонт,Мебель,Кухонная мебель,Отопление,,Тип жилья,Год постройки,Консьерж,Территория,Вид из окон,Временная эпоха,Серия дома,Кондиционер,Реновация,Посудомойка,Холодильник,Интернет,Телевизор,Стиральная машина
49664026,3-комнатная,"96,3 м²",14 из 15,предчистовая,во двор,2026 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,,,,,,,,,,,,,,,,
53241562,3-комнатная,"96,3 м²",39 из 47,чистовая,,2 кв. 2027 г.,"2,95 м",,монолит,закрытая,"42,4 м²","26,1 м²",2,есть,,,,,,,,,,,,,,,,,,,,
40500000,3-комнатная,"96,5 м²",13 из 18,,во двор,,"2,8 м",есть,кирпич-монолит,,"50,5 м²","15,5 м²",2,есть,совмещённый,Евро,нет,есть,центральное,Хорошие школы,,,,,,,,,,,,,,
61699999,3-комнатная,"96,5 м²",17 из 21,,на улицу,1 кв. 2025 г.,,,монолит,,"40,6 м²",,2,,совмещённый,,,,,,апартаменты,,,,,,,,,,,,,
51637000,3-комнатная,"96,5 м²",4 из 23,без отделки,,,"3,02 м",есть,кирпич-монолит,закрытая,"38,4 м²","32,8 м²",,,,,,,,,,2024,есть,закрытая,,,,,,,,,,
49729680,3-комнатная,"96,6 м²",3 из 13,,,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,"41,5 м²","27,9 м²",1,есть,раздельный,,,,,,,,,закрытая,,,,,,,,,,
50888880,3-комнатная,"96,6 м²",5 из 13,,,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,"41,5 м²","27,9 м²",1,есть,раздельный,,,,,,,,,закрытая,,,,,,,,,,
52048080,3-комнатная,"96,6 м²",7 из 13,,,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,"41,5 м²","27,9 м²",1,есть,раздельный,,,,,,,,,закрытая,,,,,,,,,,
53255580,3-комнатная,"96,6 м²",9 из 13,,,3 кв. 2028 г.,"3,38 м",есть,монолит,закрытая,"41,5 м²","27,9 м²",1,есть,раздельный,,,,,,,,,закрытая,,,,,,,,,,
24000000,3-комнатная,"96,7 м²",5 из 5,,,,3 м,,кирпич,открытая,63 м²,12 м²,1,,раздельный,Хороший,есть,,центральное,,,,,,во двор и на улицу,сталинка,,,,,,,,
24000000,3-комнатная,"96,7 м²",5 из 5,,на улицу,,3 м,,кирпич,закрытая,63 м²,12 м²,1,,раздельный,,есть,есть,центральное,,,,,,,сталинка,,,,,,,,
42000000,3-комнатная,96 м²,10 из 39,,на улицу,,"3,1 м",есть,монолит,подземная,80 м²,8 м²,2,,совмещённый,Нужен ремонт,,,,Спортивная площадка,,2022,,,,,,,,,,,,
33950000,3-комнатная,96 м²,3 из 14,,,,"2,68 м",есть,панель,закрытая,"44,1 м²",28 м²,2,есть,совмещённый,Евро,есть,,центральное,Хорошие школы,,,,,во двор и на улицу,,П-3М,,,,,,,
